,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_module__dropout_rate,param_module__num_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9627315998077393,0.617489703576529,0.009155082702636718,0.0007514933099573477,128,0.001,0.0,1,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.0, 'module__num_layers': 1}",0.4501916975145426,0.18453663793103448,0.42224979321753514,0.8807302771855011,0.6670247933884298,0.5209466398474085,0.2360940962526446,1
1,0.7959117889404297,0.054574848770889285,0.009554052352905273,0.0004913581355256381,128,0.001,0.0,2,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.0, 'module__num_layers': 2}",0.5073373876255949,0.0845905172413793,0.3103804797353184,0.8803304904051172,0.5586776859504132,0.46826331219156464,0.26519151724118284,8
2,0.9824988365173339,0.07122347882199223,0.010552358627319337,0.00048240350955745294,128,0.001,0.0,3,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.0, 'module__num_layers': 3}",0.46367662612374405,0.02209051724137931,0.08591811414392059,0.8456823027718551,0.6766942148760331,0.4188123550313865,0.3221616367406448,12
3,1.265601921081543,0.010056862871213573,0.011147832870483399,0.00040848943633499195,128,0.001,0.0,4,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.0, 'module__num_layers': 4}",0.6778159703860392,0.020878232758620687,0.29818031430934655,0.9092484008528785,0.5296694214876033,0.48715846795889767,0.30641389529436797,2
4,0.6756196975708008,0.048335861580985476,0.008157634735107422,0.0007438272625072842,128,0.001,0.1,1,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.1, 'module__num_layers': 1}",0.5011898466419884,0.08822737068965517,0.31916873449131516,0.840085287846482,0.5198347107438016,0.4537011900826484,0.248028861357205,10
5,0.8982766151428223,0.010337840544555815,0.00854334831237793,0.0004853040625519559,128,0.001,0.1,2,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.1, 'module__num_layers': 2}",0.5978979375991539,0.028825431034482756,0.32020264681555,0.8795309168443497,0.5660330578512397,0.47849799802895526,0.2863595536957782,6
6,0.9516361236572266,0.03832141151296415,0.009353971481323243,0.000794299854659396,128,0.001,0.1,3,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.1, 'module__num_layers': 3}",0.7597170809095716,0.06788793103448276,0.15694789081885857,0.9637526652452026,0.4769834710743802,0.48505780781649915,0.34244371843123306,3
7,1.2682143688201903,0.009482920829135289,0.010157394409179687,0.001156523023813891,128,0.001,0.1,4,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.1, 'module__num_layers': 4}",0.5583355367530407,0.21780711206896552,0.2865488006617039,0.7803171641791045,0.5692561983471075,0.4824529624019844,0.20514966061227485,4
8,0.6720826625823975,0.04318453450151558,0.008155155181884765,0.0007521087423338256,128,0.001,0.2,1,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.2, 'module__num_layers': 1}",0.5066763617133792,0.030172413793103446,0.25237799834574026,0.9401652452025586,0.6161157024793389,0.4691015443068241,0.3113049684458544,7
9,0.9034932613372803,0.006521686358488269,0.008557653427124024,0.0007952424397290872,128,0.001,0.2,2,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.2, 'module__num_layers': 2}",0.569044156530936,0.08324353448275862,0.2942514474772539,0.8113006396588486,0.6432231404958677,0.480212583729133,0.2593255718122768,5
10,0.952597188949585,0.032196747634747794,0.009547901153564454,0.0004896522669696278,128,0.001,0.2,3,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.2, 'module__num_layers': 3}",0.26644301956636707,0.046875,0.17824648469809762,0.8666044776119405,0.7382644628099173,0.4192866889372645,0.3231074303302481,11
11,1.2691550731658936,0.007042494318485464,0.009954452514648438,0.0006308235360722923,128,0.001,0.2,4,"{'batch_size': 128, 'lr': 0.001, 'module__dropout_rate': 0.2, 'module__num_layers': 4}",0.5190210206240085,0.09974407327586207,0.29549214226633574,0.7786513859275054,0.6067768595041323,0.4599370963195688,0.23808098677825462,9
